sale_id,sale_date,product_id,branch_id,customer_id,channel,quantity,unit_price,discount_pct,revenue,cost,profit
S00074,2026-05-18,P009,B005,C0004,Corporate,2,3100,0.0,6200.0,4136.44,2063.56
S00075,2026-04-10,P006,B004,C0069,Online,3,780,0.0,2340.0,1816.18,523.82
S00076,2026-01-07,P007,B005,C0060,Online,1,1250,0.15,1062.5,832.15,230.35
S00077,2026-02-16,P001,B003,C0049,Store,1,4200,0.0,4200.0,2719.5,1480.5
S00078,2026-03-13,P007,B003,C0045,Online,2,1250,0.15,2125.0,1719.71,405.29
S00079,2026-02-27,P002,B001,C0080,Online,4,3200,0.0,12800.0,9572.43,3227.57
S00080,2026-02-09,P004,B002,C0033,Online,1,420,0.0,420.0,282.66,137.34
S00081,2026-04-05,P003,B005,C0021,Online,2,950,0.0,1900.0,1397.56,502.44
S00082,2026-03-21,P002,B005,C0049,Store,1,3200,0.15,2720.0,2437.14,282.86
S00083,2026-04-12,P004,B001,C0099,Online,3,420,0.0,1260.0,756.48,503.52
S00084,2026-03-19,P010,B001,C0055,Online,2,190,0.0,380.0,246.79,133.21
S00085,2026-06-19,P006,B001,C0014,Online,1,780,0.05,741.0,580.68,160.32
S00086,2026-04-21,P006,B004,C0084,Online,1,780,0.15,663.0,533.79,129.21
S00087,2026-03-11,P010,B005,C0042,Online,2,190,0.15,323.0,265.43,57.57
S00088,2026-03-04,P002,B003,C0086,Corporate,1,3200,0.05,3040.0,2220.7,819.3
S00089,2026-04-08,P006,B001,C0034,Online,1,780,0.05,741.0,485.49,255.51
S00090,2026-03-29,P005,B005,C0025,Online,1,360,0.0,360.0,246.0,114.0
S00091,2026-01-22,P004,B004,C0092,Online,3,420,0.15,1071.0,850.78,220.22
S00092,2026-05-06,P008,B001,C0085,Store,1,1800,0.15,1530.0,1131.59,398.41
S00093,2026-05-29,P006,B004,C0046,Online,1,780,0.15,663.0,538.26,124.74
S00094,2026-06-29,P008,B003,C0016,Store,1,1800,0.15,1530.0,1113.33,416.67
S00095,2026-05-18,P003,B002,C0098,Store,2,950,0.15,1615.0,1326.04,288.96
S00096,2026-05-15,P010,B003,C0023,Corporate,3,190,0.0,570.0,356.53,213.47
S00097,2026-03-19,P001,B005,C0090,Store,1,4200,0.0,4200.0,2900.82,1299.18
S00098,2026-02-02,P008,B001,C0044,Corporate,2,1800,0.05,3420.0,2432.67,987.33
S00099,2026-02-17,P001,B003,C0010,Corporate,2,4200,0.0,8400.0,5545.19,2854.81
S00100,2026-05-28,P001,B002,C0032,Store,2,4200,0.0,8400.0,5015.1,3384.9
S00101,2026-01-31,P009,B004,C0049,Online,3,3100,0.0,9300.0,6836.79,2463.21
S00102,2026-04-26,P008,B003,C0008,Corporate,5,1800,0.0,9000.0,6243.53,2756.47
S00103,2026-06-06,P002,B002,C0023,Online,1,3200,0.0,3200.0,1956.52,1243.48
S00104,2026-05-22,P002,B002,C0005,Store,2,3200,0.1,5760.0,4313.49,1446.51
S00105,2026-03-01,P005,B003,C0034,Online,2,360,0.15,612.0,451.21,160.79
S00106,2026-06-10,P010,B002,C0035,Store,2,190,0.15,323.0,231.72,91.28
S00107,2026-02-06,P002,B001,C0037,Store,1,3200,0.15,2720.0,2383.51,336.49
S00108,2026-04-23,P002,B004,C0064,Online,2,3200,0.0,6400.0,4352.6,2047.4
S00109,2026-04-23,P002,B005,C0004,Store,1,3200,0.0,3200.0,2242.38,957.62
S00110,2026-01-24,P004,B005,C0074,Online,1,420,0.15,357.0,312.6,44.4
S00111,2026-01-11,P003,B004,C0075,Online,1,950,0.0,950.0,585.48,364.52
S00112,2026-04-22,P008,B001,C0021,Online,1,1800,0.0,1800.0,1285.25,514.75
S00113,2026-03-26,P007,B004,C0012,Store,4,1250,0.1,4500.0,2936.7,1563.3
S00114,2026-03-22,P005,B003,C0001,Store,3,360,0.1,972.0,804.58,167.42
S00115,2026-06-18,P009,B004,C0064,Store,1,3100,0.0,3100.0,2184.03,915.97
S00116,2026-06-10,P008,B001,C0090,Store,2,1800,0.0,3600.0,2403.44,1196.56
S00117,2026-05-05,P002,B001,C0040,Corporate,2,3200,0.0,6400.0,4620.52,1779.48
S00118,2026-05-22,P001,B005,C0016,Store,1,4200,0.0,4200.0,2823.62,1376.38
S00119,2026-06-15,P003,B004,C0062,Corporate,1,950,0.15,807.5,602.95,204.55
S00120,2026-05-01,P004,B004,C0018,Online,1,420,0.1,378.0,286.29,91.71
S00121,2026-01-18,P005,B004,C0037,Store,3,360,0.0,1080.0,803.64,276.36
S00122,2026-03-18,P010,B005,C0062,Corporate,2,190,0.0,380.0,254.34,125.66
S00123,2026-03-30,P006,B005,C0090,Online,1,780,0.0,780.0,588.06,191.94
S00124,2026-03-03,P010,B004,C0061,Store,3,190,0.0,570.0,366.87,203.13
S00125,2026-06-30,P007,B004,C0064,Corporate,3,1250,0.15,3187.5,2910.61,276.89
S00126,2026-01-10,P003,B005,C0057,Corporate,1,950,0.0,950.0,717.1,232.9
S00127,2026-01-26,P009,B004,C0010,Store,1,3100,0.15,2635.0,2399.37,235.63
S00128,2026-05-01,P005,B003,C0087,Online,1,360,0.0,360.0,270.13,89.87
S00129,2026-05-17,P007,B003,C0005,Online,3,1250,0.05,3562.5,2829.29,733.21
S00130,2026-06-08,P002,B002,C0056,Online,4,3200,0.0,12800.0,9335.72,3464.28
S00131,2026-01-26,P002,B004,C0008,Store,1,3200,0.0,3200.0,1885.43,1314.57
S00132,2026-03-17,P006,B003,C0024,Store,1,780,0.05,741.0,540.68,200.32
S00133,2026-02-13,P003,B001,C0075,Online,1,950,0.15,807.5,596.76,210.74
S00134,2026-02-06,P004,B004,C0060,Online,2,420,0.15,714.0,488.78,225.22
S00135,2026-03-15,P009,B002,C0055,Store,4,3100,0.1,11160.0,7933.9,3226.1
S00136,2026-06-26,P005,B004,C0014,Online,1,360,0.05,342.0,270.24,71.76
S00137,2026-03-02,P007,B005,C0085,Store,1,1250,0.15,1062.5,798.81,263.69
S00138,2026-04-12,P005,B001,C0078,Online,2,360,0.15,612.0,557.8,54.2
S00139,2026-05-08,P005,B002,C0033,Online,1,360,0.15,306.0,222.49,83.51
S00140,2026-06-23,P003,B001,C0005,Corporate,2,950,0.0,1900.0,1401.67,498.33
S00141,2026-05-29,P006,B002,C0026,Store,1,780,0.15,663.0,517.22,145.78
S00142,2026-02-03,P009,B003,C0062,Online,4,3100,0.0,12400.0,7829.29,4570.71
S00143,2026-03-17,P006,B001,C0093,Online,1,780,0.0,780.0,586.58,193.42
S00144,2026-06-22,P007,B005,C0016,Store,3,1250,0.0,3750.0,2373.34,1376.66
S00145,2026-04-27,P006,B003,C0030,Online,3,780,0.0,2340.0,1407.91,932.09
S00146,2026-05-01,P001,B005,C0009,Corporate,2,4200,0.1,7560.0,5243.9,2316.1
S00147,2026-06-12,P008,B003,C0039,Online,1,1800,0.0,1800.0,1384.65,415.35
S00148,2026-05-07,P002,B001,C0086,Store,2,3200,0.05,6080.0,4292.66,1787.34
S00149,2026-06-28,P009,B004,C0063,Online,2,3100,0.05,5890.0,4408.1,1481.9
S00150,2026-06-07,P007,B003,C0031,Store,1,1250,0.05,1187.5,836.17,351.33
S00151,2026-04-03,P002,B003,C0036,Online,5,3200,0.0,16000.0,9473.76,6526.24
S00152,2026-02-18,P002,B004,C0003,Store,1,3200,0.15,2720.0,2238.17,481.83
S00153,2026-01-13,P006,B002,C0098,Corporate,3,780,0.0,2340.0,1389.31,950.69
S00154,2026-05-22,P004,B005,C0077,Store,3,420,0.0,1260.0,925.94,334.06
S00155,2026-01-01,P005,B002,C0004,Corporate,2,360,0.0,720.0,433.43,286.57
S00156,2026-02-03,P001,B003,C0034,Online,1,4200,0.0,4200.0,2449.26,1750.74
S00157,2026-01-14,P003,B004,C0047,Online,2,950,0.05,1805.0,1272.34,532.66
S00158,2026-05-12,P010,B001,C0085,Online,1,190,0.1,171.0,111.85,59.15
S00159,2026-05-14,P005,B004,C0055,Online,1,360,0.05,342.0,269.81,72.19
S00160,2026-06-25,P002,B004,C0019,Online,1,3200,0.0,3200.0,2062.15,1137.85
S00161,2026-01-17,P003,B003,C0077,Online,2,950,0.15,1615.0,1225.57,389.43
S00162,2026-05-16,P005,B004,C0084,Online,1,360,0.15,306.0,217.04,88.96
S00163,2026-06-16,P009,B002,C0059,Store,3,3100,0.05,8835.0,6024.41,2810.59
S00164,2026-04-13,P007,B001,C0020,Store,1,1250,0.0,1250.0,818.58,431.42
S00165,2026-06-25,P008,B001,C0095,Store,1,1800,0.05,1710.0,1078.76,631.24
S00166,2026-04-06,P003,B005,C0016,Store,4,950,0.1,3420.0,2454.53,965.47
S00167,2026-04-16,P006,B004,C0046,Corporate,2,780,0.0,1560.0,1092.13,467.87
S00168,2026-01-27,P010,B005,C0045,Store,2,190,0.0,380.0,284.79,95.21
S00169,2026-05-23,P006,B001,C0099,Online,2,780,0.05,1482.0,1168.49,313.51
S00170,2026-06-09,P010,B005,C0024,Store,4,190,0.15,646.0,481.45,164.55
S00171,2026-03-11,P005,B003,C0052,Store,1,360,0.0,360.0,249.58,110.42
S00172,2026-01-18,P003,B001,C0044,Store,2,950,0.05,1805.0,1261.54,543.46
S00173,2026-02-10,P006,B003,C0007,Online,3,780,0.1,2106.0,1636.23,469.77
S00174,2026-02-09,P003,B005,C0063,Store,1,950,0.05,902.5,676.77,225.73
S00175,2026-06-05,P008,B004,C0015,Store,3,1800,0.0,5400.0,3504.79,1895.21
S00176,2026-03-14,P010,B004,C0077,Online,1,190,0.0,190.0,125.22,64.78
S00177,2026-01-15,P001,B002,C0038,Store,1,4200,0.0,4200.0,3077.9,1122.1
S00178,2026-03-25,P002,B001,C0091,Online,1,3200,0.0,3200.0,2099.33,1100.67
S00179,2026-02-28,P009,B005,C0095,Online,3,3100,0.0,9300.0,6132.55,3167.45
S00180,2026-01-11,P007,B001,C0074,Online,1,1250,0.0,1250.0,868.94,381.06
S00181,2026-04-14,P007,B003,C0080,Store,1,1250,0.0,1250.0,767.97,482.03
S00182,2026-04-28,P006,B001,C0068,Store,1,780,0.05,741.0,544.26,196.74
S00183,2026-01-21,P007,B003,C0082,Online,1,1250,0.0,1250.0,744.09,505.91
S00184,2026-01-30,P009,B005,C0083,Store,3,3100,0.0,9300.0,6746.93,2553.07
S00185,2026-02-07,P004,B001,C0098,Store,1,420,0.1,378.0,256.44,121.56
S00186,2026-06-17,P002,B002,C0098,Corporate,2,3200,0.05,6080.0,4677.69,1402.31
S00187,2026-05-29,P008,B005,C0081,Online,5,1800,0.0,9000.0,6775.64,2224.36
S00188,2026-03-22,P003,B004,C0076,Store,1,950,0.0,950.0,702.3,247.7
S00189,2026-01-15,P006,B005,C0037,Store,2,780,0.0,1560.0,922.55,637.45
S00190,2026-01-20,P002,B005,C0095,Online,1,3200,0.1,2880.0,2210.76,669.24
S00191,2026-01-11,P008,B005,C0008,Online,1,1800,0.05,1710.0,1224.49,485.51
S00192,2026-04-26,P002,B003,C0032,Corporate,1,3200,0.15,2720.0,1966.44,753.56
S00193,2026-07-01,P008,B004,C0037,Online,2,1800,0.0,3600.0,2356.45,1243.55
S00194,2026-04-10,P007,B003,C0009,Online,1,1250,0.15,1062.5,886.83,175.67
S00195,2026-03-26,P002,B005,C0078,Online,1,3200,0.15,2720.0,2401.0,319.0
S00196,2026-02-08,P006,B001,C0084,Online,1,780,0.0,780.0,500.8,279.2
S00197,2026-06-28,P007,B002,C0083,Online,4,1250,0.0,5000.0,3458.92,1541.08
S00198,2026-03-26,P003,B005,C0047,Store,2,950,0.1,1710.0,1239.49,470.51
S00199,2026-03-21,P003,B002,C0018,Store,3,950,0.0,2850.0,1782.13,1067.87
S00200,2026-02-09,P002,B003,C0068,Online,1,3200,0.1,2880.0,2390.48,489.52
S00201,2026-01-10,P006,B005,C0089,Store,1,780,0.0,780.0,480.61,299.39
S00202,2026-06-09,P003,B004,C0057,Store,1,950,0.15,807.5,596.13,211.37
S00203,2026-06-06,P005,B004,C0025,Store,1,360,0.05,342.0,273.89,68.11
S00204,2026-04-05,P010,B004,C0054,Online,1,190,0.05,180.5,129.31,51.19
S00205,2026-02-11,P004,B005,C0048,Store,1,420,0.15,357.0,283.97,73.03
S00206,2026-05-22,P002,B005,C0066,Corporate,1,3200,0.0,3200.0,2030.59,1169.41
S00207,2026-02-07,P007,B001,C0004,Corporate,1,1250,0.05,1187.5,946.16,241.34
S00208,2026-04-17,P001,B004,C0004,Online,1,4200,0.0,4200.0,2750.93,1449.07
S00209,2026-03-23,P002,B003,C0061,Online,1,3200,0.0,3200.0,2443.13,756.87
S00210,2026-06-28,P003,B004,C0028,Store,1,950,0.0,950.0,554.61,395.39
S00211,2026-02-08,P009,B005,C0016,Online,1,3100,0.0,3100.0,1945.34,1154.66
S00212,2026-01-13,P004,B004,C0064,Online,2,420,0.0,840.0,505.82,334.18
S00213,2026-06-02,P009,B001,C0055,Online,2,3100,0.15,5270.0,3774.04,1495.96
S00214,2026-01-01,P010,B003,C0068,Store,1,190,0.15,161.5,135.59,25.91
S00215,2026-04-03,P002,B005,C0050,Online,3,3200,0.1,8640.0,6631.97,2008.03
S00216,2026-05-01,P001,B004,C0009,Corporate,1,4200,0.0,4200.0,2735.96,1464.04
S00217,2026-03-30,P004,B001,C0046,Online,2,420,0.0,840.0,509.61,330.39
S00218,2026-05-20,P006,B002,C0024,Online,2,780,0.15,1326.0,1054.1,271.9
S00219,2026-02-04,P002,B004,C0041,Store,1,3200,0.0,3200.0,2422.91,777.09
S00220,2026-03-21,P009,B004,C0083,Corporate,2,3100,0.0,6200.0,3641.41,2558.59
S00221,2026-02-18,P005,B003,C0016,Corporate,1,360,0.15,306.0,232.7,73.3
S00222,2026-04-05,P007,B004,C0024,Online,3,1250,0.05,3562.5,2429.28,1133.22
S00223,2026-05-08,P008,B003,C0011,Corporate,2,1800,0.0,3600.0,2611.5,988.5
S00224,2026-04-21,P010,B002,C0038,Online,1,190,0.0,190.0,122.66,67.34
S00225,2026-03-20,P008,B005,C0006,Online,1,1800,0.05,1710.0,1170.56,539.44
S00226,2026-04-01,P010,B004,C0082,Store,5,190,0.0,950.0,565.26,384.74
S00227,2026-04-14,P006,B005,C0078,Online,2,780,0.0,1560.0,949.35,610.65
S00228,2026-06-23,P008,B001,C0050,Store,1,1800,0.15,1530.0,1175.88,354.12
S00229,2026-05-26,P001,B005,C0098,Store,1,4200,0.0,4200.0,2748.49,1451.51
S00230,2026-01-20,P010,B002,C0015,Online,1,190,0.15,161.5,120.79,40.71
S00231,2026-01-07,P003,B004,C0034,Online,4,950,0.0,3800.0,2402.95,1397.05
S00232,2026-06-30,P008,B002,C0018,Corporate,1,1800,0.05,1710.0,1116.06,593.94
S00233,2026-01-19,P008,B002,C0041,Corporate,1,1800,0.0,1800.0,1335.78,464.22
S00234,2026-06-20,P006,B001,C0092,Online,1,780,0.0,780.0,585.21,194.79
S00235,2026-07-01,P003,B003,C0031,Online,1,950,0.0,950.0,701.49,248.51
S00236,2026-05-07,P001,B003,C0012,Online,1,4200,0.1,3780.0,2545.01,1234.99
S00237,2026-01-17,P005,B004,C0053,Corporate,2,360,0.1,648.0,476.75,171.25
S00238,2026-05-28,P002,B002,C0067,Corporate,2,3200,0.05,6080.0,4308.27,1771.73
S00239,2026-03-30,P003,B005,C0008,Online,1,950,0.0,950.0,633.2,316.8
S00240,2026-02-01,P009,B002,C0067,Store,1,3100,0.15,2635.0,1937.79,697.21
S00241,2026-03-14,P002,B003,C0039,Store,4,3200,0.0,12800.0,7744.44,5055.56
S00242,2026-06-07,P009,B001,C0085,Online,1,3100,0.1,2790.0,1893.6,896.4
S00243,2026-06-09,P010,B003,C0083,Online,2,190,0.0,380.0,226.57,153.43
S00244,2026-05-28,P005,B002,C0081,Online,1,360,0.15,306.0,210.98,95.02
S00245,2026-05-20,P005,B003,C0059,Online,3,360,0.15,918.0,714.12,203.88
S00246,2026-01-19,P001,B002,C0019,Store,2,4200,0.0,8400.0,5443.52,2956.48
S00247,2026-03-22,P006,B003,C0014,Corporate,1,780,0.0,780.0,532.74,247.26
S00248,2026-03-23,P004,B004,C0038,Store,1,420,0.0,420.0,251.73,168.27
S00249,2026-04-09,P010,B004,C0074,Store,3,190,0.0,570.0,423.34,146.66
S00250,2026-03-22,P004,B002,C0064,Online,2,420,0.05,798.0,634.88,163.12
S00251,2026-01-06,P002,B004,C0007,Online,4,3200,0.0,12800.0,8917.36,3882.64
S00252,2026-01-13,P005,B004,C0069,Online,3,360,0.15,918.0,728.05,189.95
S00253,2026-01-03,P002,B004,C0047,Store,1,3200,0.0,3200.0,2344.87,855.13
S00254,2026-01-12,P007,B001,C0050,Online,1,1250,0.1,1125.0,797.15,327.85
S00255,2026-05-10,P008,B005,C0017,Store,5,1800,0.15,7650.0,6319.88,1330.12
S00256,2026-01-25,P007,B003,C0026,Online,1,1250,0.0,1250.0,913.74,336.26
S00257,2026-06-04,P009,B004,C0061,Online,1,3100,0.0,3100.0,2240.43,859.57
S00258,2026-05-13,P008,B002,C0041,Online,2,1800,0.0,3600.0,2758.59,841.41
S00259,2026-02-11,P007,B005,C0066,Online,1,1250,0.0,1250.0,851.83,398.17
S00260,2026-05-17,P008,B005,C0015,Store,3,1800,0.0,5400.0,3489.74,1910.26
S00261,2026-04-17,P010,B003,C0077,Online,2,190,0.15,323.0,268.22,54.78
S00262,2026-05-02,P005,B005,C0068,Online,2,360,0.1,648.0,486.78,161.22
S00263,2026-06-11,P010,B004,C0090,Store,2,190,0.0,380.0,263.92,116.08
S00264,2026-01-29,P004,B001,C0053,Store,1,420,0.05,399.0,301.6,97.4
S00265,2026-05-09,P010,B004,C0067,Corporate,2,190,0.0,380.0,274.04,105.96
S00266,2026-02-23,P009,B003,C0023,Corporate,2,3100,0.05,5890.0,3985.05,1904.95
S00267,2026-04-28,P009,B003,C0089,Online,2,3100,0.15,5270.0,4440.12,829.88
S00268,2026-03-09,P010,B004,C0039,Store,1,190,0.1,171.0,121.54,49.46
S00269,2026-03-15,P004,B004,C0016,Store,1,420,0.15,357.0,266.57,90.43
S00270,2026-05-27,P009,B004,C0019,Corporate,1,3100,0.0,3100.0,2389.86,710.14
S00271,2026-03-16,P001,B003,C0096,Corporate,1,4200,0.05,3990.0,2987.02,1002.98
S00272,2026-05-03,P004,B002,C0018,Online,1,420,0.1,378.0,302.08,75.92
S00273,2026-01-28,P010,B005,C0030,Store,1,190,0.1,171.0,118.78,52.22
S00274,2026-01-14,P002,B004,C0001,Store,2,3200,0.15,5440.0,4698.58,741.42
S00275,2026-05-21,P003,B004,C0026,Online,3,950,0.05,2707.5,1925.15,782.35
S00276,2026-03-15,P006,B003,C0030,Online,4,780,0.0,3120.0,2216.63,903.37
S00277,2026-05-17,P001,B002,C0051,Store,3,4200,0.0,12600.0,9820.87,2779.13
S00278,2026-05-07,P003,B003,C0043,Corporate,1,950,0.1,855.0,665.53,189.47
S00279,2026-03-14,P008,B005,C0060,Online,3,1800,0.0,5400.0,4051.14,1348.86
S00280,2026-03-11,P004,B001,C0024,Store,2,420,0.15,714.0,530.42,183.58
S00281,2026-01-04,P006,B003,C0082,Online,3,780,0.0,2340.0,1643.13,696.87
S00282,2026-04-14,P007,B005,C0018,Store,1,1250,0.0,1250.0,771.2,478.8
S00283,2026-05-03,P006,B002,C0043,Store,1,780,0.05,741.0,569.99,171.01
S00284,2026-03-19,P010,B005,C0086,Store,2,190,0.15,323.0,238.36,84.64
S00285,2026-01-31,P008,B003,C0089,Store,2,1800,0.15,3060.0,2642.29,417.71
S00286,2026-01-31,P005,B003,C0059,Online,1,360,0.0,360.0,243.23,116.77
S00287,2026-06-05,P006,B004,C0028,Online,4,780,0.1,2808.0,2310.04,497.96
S00288,2026-03-05,P010,B001,C0073,Online,2,190,0.0,380.0,226.34,153.66
S00289,2026-01-29,P001,B005,C0042,Corporate,1,4200,0.1,3780.0,2561.88,1218.12
S00290,2026-05-14,P008,B001,C0066,Online,2,1800,0.05,3420.0,2153.48,1266.52
S00291,2026-04-25,P001,B004,C0060,Store,1,4200,0.1,3780.0,2484.5,1295.5
S00292,2026-06-22,P005,B001,C0010,Store,3,360,0.15,918.0,673.47,244.53
S00293,2026-01-12,P007,B003,C0009,Online,2,1250,0.0,2500.0,1917.29,582.71
S00294,2026-05-01,P001,B003,C0083,Store,3,4200,0.15,10710.0,9773.4,936.6
S00295,2026-04-18,P006,B004,C0088,Store,4,780,0.05,2964.0,2044.0,920.0
S00296,2026-06-19,P009,B002,C0051,Online,1,3100,0.0,3100.0,2413.57,686.43
S00297,2026-05-16,P003,B002,C0093,Online,3,950,0.0,2850.0,1916.91,933.09
S00298,2026-05-20,P007,B005,C0036,Store,1,1250,0.05,1187.5,811.54,375.96
S00299,2026-02-18,P002,B001,C0009,Online,1,3200,0.0,3200.0,2010.03,1189.97
